unitKey,chassis,model,techBase,rulesLevel,relativePath,weaponIndex,mtfWeaponName,mtfLocation,normalizedLocation,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,matchedBy,matchedText,slotMatchStatus,matchingSlotIndexes,matchingSlotValues,reason
meks-3039u-archer-arc-2k,Archer,ARC-2K,Inner Sphere,Introductory,meks/3039u/Archer ARC-2K.mtf,0,Large Laser,Left Arm,leftArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,5; 6,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2k,Archer,ARC-2K,Inner Sphere,Introductory,meks/3039u/Archer ARC-2K.mtf,1,Large Laser,Right Arm,rightArm,matched,is_large_laser,Large Laser,Inner Sphere,name,Large Laser,matchedSlot,5; 6,Large Laser; Large Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2k,Archer,ARC-2K,Inner Sphere,Introductory,meks/3039u/Archer ARC-2K.mtf,2,LRM 15,Left Torso,leftTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,1; 2; 3; 4; 5,LRM 15; LRM 15; LRM 15; IS Ammo LRM-15; IS Ammo LRM-15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2k,Archer,ARC-2K,Inner Sphere,Introductory,meks/3039u/Archer ARC-2K.mtf,3,LRM 15,Right Torso,rightTorso,matched,is_lrm_15,LRM 15,Inner Sphere,name,LRM 15,matchedSlot,1; 2; 3; 4; 5,LRM 15; LRM 15; LRM 15; IS Ammo LRM-15; IS Ammo LRM-15,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2r,Archer,ARC-2R,Inner Sphere,Introductory,meks/3039u/Archer ARC-2R.mtf,0,Medium Laser,Left Arm,leftArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,5,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2r,Archer,ARC-2R,Inner Sphere,Introductory,meks/3039u/Archer ARC-2R.mtf,1,Medium Laser,Right Arm,rightArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,5,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2r,Archer,ARC-2R,Inner Sphere,Introductory,meks/3039u/Archer ARC-2R.mtf,2,LRM 20,Left Torso,leftTorso,matched,is_lrm_20,LRM 20,Inner Sphere,name,LRM 20,matchedSlot,1; 2; 3; 4; 5; 6; 7,LRM 20; LRM 20; LRM 20; LRM 20; LRM 20; IS Ammo LRM-20; IS Ammo LRM-20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2r,Archer,ARC-2R,Inner Sphere,Introductory,meks/3039u/Archer ARC-2R.mtf,3,LRM 20,Right Torso,rightTorso,matched,is_lrm_20,LRM 20,Inner Sphere,name,LRM 20,matchedSlot,1; 2; 3; 4; 5; 6; 7,LRM 20; LRM 20; LRM 20; LRM 20; LRM 20; IS Ammo LRM-20; IS Ammo LRM-20,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2r,Archer,ARC-2R,Inner Sphere,Introductory,meks/3039u/Archer ARC-2R.mtf,4,Medium Laser,Center Torso,centerTorso,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,11; 12,Medium Laser (R); Medium Laser (R),"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2r,Archer,ARC-2R,Inner Sphere,Introductory,meks/3039u/Archer ARC-2R.mtf,5,Medium Laser,Center Torso,centerTorso,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,11; 12,Medium Laser (R); Medium Laser (R),"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
meks-3039u-archer-arc-2s,Archer,ARC-2S,Inner Sphere,Introductory,meks/3039u/Archer ARC-2S.mtf,0,Medium Laser,Left Arm,leftArm,matched,is_medium_laser,Medium Laser,Inner Sphere,name,Medium Laser,matchedSlot,5,Medium Laser,"Resolved by tech base Inner Sphere, exact normalized id/name/altName match, exact match after stripping IS/CL prefix, weapon.name preferred."
