title,body_file,labels,milestone,parent_epic,use_case,issue_type,area,priority,phase
[UC-001] View Public Site Information,issue_bodies/epics/uc-001-view-public-site-information.md,"type: epic,area: docs,priority: medium,phase: mvp",M1: Project Foundation and Documentation,,UC-001,Epic,Docs,Medium,MVP
Create landing page overview,issue_bodies/tasks/uc-001-create-landing-page-overview.md,"type: task,area: ui,area: docs,priority: medium,phase: mvp",M1: Project Foundation and Documentation,[UC-001] View Public Site Information,UC-001,Task,Docs,Medium,MVP
Create FAQ page,issue_bodies/tasks/uc-001-create-faq-page.md,"type: task,area: docs,priority: medium,phase: mvp",M1: Project Foundation and Documentation,[UC-001] View Public Site Information,UC-001,Task,Docs,Medium,MVP
Create campaign guide page,issue_bodies/tasks/uc-001-create-campaign-guide-page.md,"type: task,area: docs,priority: medium,phase: mvp",M1: Project Foundation and Documentation,[UC-001] View Public Site Information,UC-001,Task,Docs,Medium,MVP
[UC-002] View Leaderboards and Statistics,issue_bodies/epics/uc-002-view-leaderboards-and-statistics.md,"type: epic,area: leaderboards,priority: medium,phase: v1","M9: Leaderboards, Polish, and Final Release",,UC-002,Epic,Leaderboards,Medium,V1
Create public leaderboard page,issue_bodies/tasks/uc-002-create-public-leaderboard-page.md,"type: task,area: leaderboards,area: ui,priority: medium,phase: v1","M9: Leaderboards, Polish, and Final Release",[UC-002] View Leaderboards and Statistics,UC-002,Task,Leaderboards,Medium,V1
Implement leaderboard eligibility rules,issue_bodies/tasks/uc-002-implement-leaderboard-eligibility-rules.md,"type: task,area: leaderboards,area: api,priority: high,phase: v1","M9: Leaderboards, Polish, and Final Release",[UC-002] View Leaderboards and Statistics,UC-002,Task,Leaderboards,Medium,V1
Create statistics dashboard endpoint,issue_bodies/tasks/uc-002-create-statistics-dashboard-endpoint.md,"type: task,area: leaderboards,area: api,priority: medium,phase: v1","M9: Leaderboards, Polish, and Final Release",[UC-002] View Leaderboards and Statistics,UC-002,Task,Leaderboards,Medium,V1
[UC-003] Create User Account,issue_bodies/epics/uc-003-create-user-account.md,"type: epic,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",,UC-003,Epic,Accounts,High,MVP
Create users table/model,issue_bodies/tasks/uc-003-create-users-table-model.md,"type: task,area: database,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-003] Create User Account,UC-003,Task,Accounts,High,MVP
Implement registration endpoint,issue_bodies/tasks/uc-003-implement-registration-endpoint.md,"type: task,area: api,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-003] Create User Account,UC-003,Task,Accounts,High,MVP
Build registration UI,issue_bodies/tasks/uc-003-build-registration-ui.md,"type: task,area: ui,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-003] Create User Account,UC-003,Task,Accounts,High,MVP
[UC-004] Log In,issue_bodies/epics/uc-004-log-in.md,"type: epic,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",,UC-004,Epic,Accounts,High,MVP
Implement login endpoint,issue_bodies/tasks/uc-004-implement-login-endpoint.md,"type: task,area: api,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-004] Log In,UC-004,Task,Accounts,High,MVP
Build login UI,issue_bodies/tasks/uc-004-build-login-ui.md,"type: task,area: ui,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-004] Log In,UC-004,Task,Accounts,High,MVP
Add authenticated route guard,issue_bodies/tasks/uc-004-add-authenticated-route-guard.md,"type: task,area: ui,area: accounts,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-004] Log In,UC-004,Task,Accounts,High,MVP
[UC-006] Manage User Account,issue_bodies/epics/uc-006-manage-user-account.md,"type: epic,area: accounts,priority: medium,phase: mvp","M2: Accounts, Friends, and Notifications",,UC-006,Epic,Accounts,Medium,MVP
Implement current-user endpoints,issue_bodies/tasks/uc-006-implement-current-user-endpoints.md,"type: task,area: api,area: accounts,priority: medium,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-006] Manage User Account,UC-006,Task,Accounts,Medium,MVP
Build profile settings UI,issue_bodies/tasks/uc-006-build-profile-settings-ui.md,"type: task,area: ui,area: accounts,priority: medium,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-006] Manage User Account,UC-006,Task,Accounts,Medium,MVP
[UC-007] Add and Manage Friends,issue_bodies/epics/uc-007-add-and-manage-friends.md,"type: epic,area: friends,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",,UC-007,Epic,Friends,High,MVP
Create friendship tables/models,issue_bodies/tasks/uc-007-create-friendship-tables-models.md,"type: task,area: database,area: friends,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-007] Add and Manage Friends,UC-007,Task,Friends,High,MVP
Implement friend request endpoints,issue_bodies/tasks/uc-007-implement-friend-request-endpoints.md,"type: task,area: api,area: friends,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-007] Add and Manage Friends,UC-007,Task,Friends,High,MVP
Build friends UI,issue_bodies/tasks/uc-007-build-friends-ui.md,"type: task,area: ui,area: friends,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-007] Add and Manage Friends,UC-007,Task,Friends,High,MVP
[UC-008] View and Manage Notifications,issue_bodies/epics/uc-008-view-and-manage-notifications.md,"type: epic,area: notifications,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",,UC-008,Epic,Notifications,High,MVP
Create notifications table/model,issue_bodies/tasks/uc-008-create-notifications-table-model.md,"type: task,area: database,area: notifications,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-008] View and Manage Notifications,UC-008,Task,Notifications,High,MVP
Implement notification endpoints,issue_bodies/tasks/uc-008-implement-notification-endpoints.md,"type: task,area: api,area: notifications,priority: high,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-008] View and Manage Notifications,UC-008,Task,Notifications,High,MVP
Build notification UI,issue_bodies/tasks/uc-008-build-notification-ui.md,"type: task,area: ui,area: notifications,priority: medium,phase: mvp","M2: Accounts, Friends, and Notifications",[UC-008] View and Manage Notifications,UC-008,Task,Notifications,High,MVP
[UC-009] Create Force,issue_bodies/epics/uc-009-create-force.md,"type: epic,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,,UC-009,Epic,Forces,High,MVP
Create force tables/models,issue_bodies/tasks/uc-009-create-force-tables-models.md,"type: task,area: database,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-009] Create Force,UC-009,Task,Forces,High,MVP
Implement create force endpoint,issue_bodies/tasks/uc-009-implement-create-force-endpoint.md,"type: task,area: api,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-009] Create Force,UC-009,Task,Forces,High,MVP
Build create force UI,issue_bodies/tasks/uc-009-build-create-force-ui.md,"type: task,area: ui,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-009] Create Force,UC-009,Task,Forces,High,MVP
[UC-010] Add Units to Force,issue_bodies/epics/uc-010-add-units-to-force.md,"type: epic,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,,UC-010,Epic,Forces,High,MVP
Create base unit catalog model,issue_bodies/tasks/uc-010-create-base-unit-catalog-model.md,"type: task,area: database,area: units,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-010] Add Units to Force,UC-010,Task,Forces,High,MVP
Implement unit catalog search endpoint,issue_bodies/tasks/uc-010-implement-unit-catalog-search-endpoint.md,"type: task,area: api,area: units,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-010] Add Units to Force,UC-010,Task,Forces,High,MVP
Implement add unit to force endpoint,issue_bodies/tasks/uc-010-implement-add-unit-to-force-endpoint.md,"type: task,area: api,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-010] Add Units to Force,UC-010,Task,Forces,High,MVP
Build unit browser for force creation,issue_bodies/tasks/uc-010-build-unit-browser-for-force-creation.md,"type: task,area: ui,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-010] Add Units to Force,UC-010,Task,Forces,High,MVP
[UC-012] Manage Existing Force,issue_bodies/epics/uc-012-manage-existing-force.md,"type: epic,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,,UC-012,Epic,Forces,High,MVP
Implement force list/detail endpoints,issue_bodies/tasks/uc-012-implement-force-list-detail-endpoints.md,"type: task,area: api,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-012] Manage Existing Force,UC-012,Task,Forces,High,MVP
Implement update/archive/delete force endpoints,issue_bodies/tasks/uc-012-implement-update-archive-delete-force-endpoints.md,"type: task,area: api,area: forces,priority: medium,phase: mvp",M3: Unit Catalog and Force Management,[UC-012] Manage Existing Force,UC-012,Task,Forces,High,MVP
Build force management UI,issue_bodies/tasks/uc-012-build-force-management-ui.md,"type: task,area: ui,area: forces,priority: high,phase: mvp",M3: Unit Catalog and Force Management,[UC-012] Manage Existing Force,UC-012,Task,Forces,High,MVP
[UC-013] Create Campaign,issue_bodies/epics/uc-013-create-campaign.md,"type: epic,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,,UC-013,Epic,Campaigns,High,MVP
Create campaign tables/models,issue_bodies/tasks/uc-013-create-campaign-tables-models.md,"type: task,area: database,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-013] Create Campaign,UC-013,Task,Campaigns,High,MVP
Implement create campaign endpoint,issue_bodies/tasks/uc-013-implement-create-campaign-endpoint.md,"type: task,area: api,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-013] Create Campaign,UC-013,Task,Campaigns,High,MVP
Implement campaign-specific force copy,issue_bodies/tasks/uc-013-implement-campaign-specific-force-copy.md,"type: task,area: api,area: campaigns,area: forces,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-013] Create Campaign,UC-013,Task,Campaigns,High,MVP
Build campaign creation UI,issue_bodies/tasks/uc-013-build-campaign-creation-ui.md,"type: task,area: ui,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-013] Create Campaign,UC-013,Task,Campaigns,High,MVP
[UC-014] Invite Friends to Campaign,issue_bodies/epics/uc-014-invite-friends-to-campaign.md,"type: epic,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,,UC-014,Epic,Campaigns,High,MVP
Create campaign invitation model,issue_bodies/tasks/uc-014-create-campaign-invitation-model.md,"type: task,area: database,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-014] Invite Friends to Campaign,UC-014,Task,Campaigns,High,MVP
Implement campaign invitation endpoints,issue_bodies/tasks/uc-014-implement-campaign-invitation-endpoints.md,"type: task,area: api,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-014] Invite Friends to Campaign,UC-014,Task,Campaigns,High,MVP
Build campaign invite UI,issue_bodies/tasks/uc-014-build-campaign-invite-ui.md,"type: task,area: ui,area: campaigns,priority: medium,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-014] Invite Friends to Campaign,UC-014,Task,Campaigns,High,MVP
[UC-015] Join Campaign,issue_bodies/epics/uc-015-join-campaign.md,"type: epic,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,,UC-015,Epic,Campaigns,High,MVP
Implement invitation response endpoint,issue_bodies/tasks/uc-015-implement-invitation-response-endpoint.md,"type: task,area: api,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-015] Join Campaign,UC-015,Task,Campaigns,High,MVP
Build join campaign UI,issue_bodies/tasks/uc-015-build-join-campaign-ui.md,"type: task,area: ui,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-015] Join Campaign,UC-015,Task,Campaigns,High,MVP
[UC-016] View Campaign Dashboard,issue_bodies/epics/uc-016-view-campaign-dashboard.md,"type: epic,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,,UC-016,Epic,Campaigns,High,MVP
Implement campaign dashboard endpoint,issue_bodies/tasks/uc-016-implement-campaign-dashboard-endpoint.md,"type: task,area: api,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-016] View Campaign Dashboard,UC-016,Task,Campaigns,High,MVP
Build campaign dashboard UI,issue_bodies/tasks/uc-016-build-campaign-dashboard-ui.md,"type: task,area: ui,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-016] View Campaign Dashboard,UC-016,Task,Campaigns,High,MVP
Implement campaign start/finalize actions,issue_bodies/tasks/uc-016-implement-campaign-start-finalize-actions.md,"type: task,area: api,area: ui,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-016] View Campaign Dashboard,UC-016,Task,Campaigns,High,MVP
[UC-017] View Campaign Forces and Units,issue_bodies/epics/uc-017-view-campaign-forces-and-units.md,"type: epic,area: campaigns,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,,UC-017,Epic,Campaigns,High,MVP
Implement campaign forces endpoints,issue_bodies/tasks/uc-017-implement-campaign-forces-endpoints.md,"type: task,area: api,area: campaigns,area: forces,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-017] View Campaign Forces and Units,UC-017,Task,Campaigns,High,MVP
Implement campaign unit detail endpoint,issue_bodies/tasks/uc-017-implement-campaign-unit-detail-endpoint.md,"type: task,area: api,area: campaigns,area: units,priority: medium,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-017] View Campaign Forces and Units,UC-017,Task,Campaigns,High,MVP
Build campaign forces UI,issue_bodies/tasks/uc-017-build-campaign-forces-ui.md,"type: task,area: ui,area: campaigns,area: forces,priority: high,phase: mvp",M4: Campaign Setup and Campaign-Specific Forces,[UC-017] View Campaign Forces and Units,UC-017,Task,Campaigns,High,MVP
[UC-019] Log Battle,issue_bodies/epics/uc-019-log-battle.md,"type: epic,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,,UC-019,Epic,Battles,High,MVP
Create battle tables/models,issue_bodies/tasks/uc-019-create-battle-tables-models.md,"type: task,area: database,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-019] Log Battle,UC-019,Task,Battles,High,MVP
Implement create battle endpoint,issue_bodies/tasks/uc-019-implement-create-battle-endpoint.md,"type: task,area: api,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-019] Log Battle,UC-019,Task,Battles,High,MVP
Implement submit battle result endpoint,issue_bodies/tasks/uc-019-implement-submit-battle-result-endpoint.md,"type: task,area: api,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-019] Log Battle,UC-019,Task,Battles,High,MVP
Build battle logging UI,issue_bodies/tasks/uc-019-build-battle-logging-ui.md,"type: task,area: ui,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-019] Log Battle,UC-019,Task,Battles,High,MVP
[UC-020] Confirm or Dispute Battle Result,issue_bodies/epics/uc-020-confirm-or-dispute-battle-result.md,"type: epic,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,,UC-020,Epic,Battles,High,MVP
Implement confirm battle endpoint,issue_bodies/tasks/uc-020-implement-confirm-battle-endpoint.md,"type: task,area: api,area: battles,priority: high,phase: mvp",M5: Battle Logging and Confirmation,[UC-020] Confirm or Dispute Battle Result,UC-020,Task,Battles,High,MVP
